dia,dia_padded,data,data_ddmm,passagem,tema,contexto,leitura_texto,sintese_teologica,questao_estudo
11,11,"set. 5, 2026",05/09,Isaías 40–43,Consolação e o Deus incomparável,"Com o anúncio do exílio já colocado diante do leitor, o tom do livro muda. Isaías 40 inicia uma palavra de consolação dirigida a um povo que experimentará a disciplina de Deus e precisará reaprender a esperar nele.","A voz que anuncia consolo apresenta o retorno como um novo êxodo e fundamenta essa esperança no caráter do Senhor. Diferente dos ídolos, ele cria, conhece e governa todas as coisas. Israel, embora cansado e temeroso, continua sendo chamado servo escolhido. Nos capítulos 42 e 43 surge com mais clareza a figura do Servo e a linguagem de redenção: Deus promete conduzir seu povo através das águas, reunir os dispersos e fazer algo novo. A restauração não nasce da capacidade de Israel de reverter sua situação, mas da identidade daquele que o criou, chamou e resgatou.",A esperança do exílio é sustentada pela singularidade de Deus e por sua fidelidade em redimir o povo que escolheu.,"Como Isaías 40–43 fundamenta a promessa de restauração no caráter de Deus, e não em uma mudança prévia na capacidade de Israel?"
12,12,"set. 6, 2026",06/09,Isaías 44–47,"Ídolos, Ciro e a queda da Babilônia","A polêmica contra a idolatria continua enquanto Isaías passa a nomear o agente histórico que será usado na libertação: Ciro, rei persa. O contraste é entre deuses fabricados e o Senhor que dirige acontecimentos antes que ocorram.","O capítulo 44 ridiculariza a incoerência de produzir um ídolo com a mesma madeira usada para tarefas comuns. Em contraste, o Senhor forma Israel e anuncia sua restauração. Ciro é chamado pastor e ungido porque cumprirá um propósito divino, ainda que não conheça o Senhor como Israel o conhece. Essa afirmação amplia a soberania de Deus sobre governantes estrangeiros. O capítulo 46 volta a contrastar ídolos carregados por seus adoradores com o Deus que carrega seu povo. Babilônia, no capítulo 47, perde a posição que julgava permanente. Sua confiança em poder, luxo e saber oculto não a preserva.",O Deus de Israel não precisa ser sustentado por seus adoradores e pode usar até governantes estrangeiros para cumprir seus propósitos.,Como o contraste entre os ídolos e Ciro em Isaías 44–47 desenvolve o argumento de que somente o Senhor governa efetivamente a história?
13,13,"set. 7, 2026",07/09,Isaías 48–51,O Servo e a consolação de Sião,Isaías volta a confrontar a obstinação de Israel ao mesmo tempo que desenvolve a missão do Servo. A restauração prometida precisa responder tanto ao exílio externo quanto ao problema interno da infidelidade.,"O capítulo 48 lembra que Israel ouve o nome do Senhor, mas permanece resistente. Ainda assim, Deus anuncia a saída da Babilônia. Nos capítulos 49 e 50, o Servo aparece chamado desde o ventre, incumbido de restaurar Israel e também de levar a salvação às nações. Sua missão envolve obediência e sofrimento, em contraste com a desobediência do povo. O capítulo 51 dirige os ouvintes a Abraão, à fidelidade passada de Deus e à promessa de consolação de Sião. A esperança passa, portanto, por uma ação divina capaz de restaurar o povo e ampliar a bênção além dele.",A restauração de Israel depende da fidelidade de Deus e da missão de um Servo cuja obediência alcança Israel e as nações.,De que maneira Isaías 48–51 contrasta a obstinação de Israel com a obediência do Servo e que função esse contraste exerce no argumento da restauração?
14,14,"set. 8, 2026",08/09,Isaías 52–55,O Servo sofredor e o convite à aliança,"A consolação de Sião chega a um de seus pontos centrais. A libertação anunciada é descrita em termos de boas notícias, retorno do Senhor a Sião e atuação do Servo, cuja exaltação passa por sofrimento extremo.","Isaías 52 anuncia a chegada da salvação e introduz o cântico do Servo que se estende até 53. Ele é rejeitado, sofre sem culpa própria e carrega as iniquidades de outros, mas depois de sua aflição é vindicado. O capítulo 54 apresenta Sião restaurada e a permanência do compromisso de Deus. Em Isaías 55, a resposta adequada é vir, ouvir e receber gratuitamente aquilo que não pode ser comprado. A promessa davídica é retomada e a eficácia da palavra divina garante que o propósito de Deus não ficará sem resultado.",A restauração é apresentada como obra de Deus realizada por meio do Servo e recebida como graça dentro da fidelidade da aliança.,Como Isaías 52–55 relaciona o sofrimento do Servo à restauração de Sião e ao convite dirigido aos que recebem a palavra de Deus?
15,15,"set. 9, 2026",09/09,Isaías 56–59,A comunidade restaurada e a persistência do pecado,A promessa de retorno não encerra a questão da fidelidade. Isaías passa a tratar da forma de vida esperada do povo e mostra que a restauração externa não resolve automaticamente o problema moral e espiritual.,"O capítulo 56 inclui estrangeiros e eunucos que se unem ao Senhor, enquanto denuncia líderes incapazes de pastorear. O capítulo 57 contrasta idolatria com a presença de Deus junto ao contrito. Em Isaías 58, o jejum é julgado a partir de sua relação com justiça, misericórdia e tratamento do próximo. O capítulo 59 aprofunda o diagnóstico: não é a incapacidade do Senhor que impede a salvação, mas as iniquidades do povo. A confissão coletiva prepara o anúncio de que o próprio Deus intervém como guerreiro e redentor. A seção evita qualquer ideia de que voltar à terra seja equivalente a estar plenamente restaurado.","A restauração da aliança exige uma comunidade transformada, porque o problema que produziu o exílio permanece presente no coração e na vida social.","Como Isaías 56–59 demonstra que o retorno e a prática religiosa, isoladamente, são insuficientes para definir uma comunidade restaurada?"
16,16,"set. 10, 2026",10/09,Isaías 60–63,A glória de Sião e a intervenção do Senhor,"A visão de restauração assume linguagem de luz, glória e reunião das nações. Ao mesmo tempo, a seção mantém a tensão entre salvação e juízo, mostrando que a renovação de Sião depende da atuação decisiva do Senhor.","Isaías 60 descreve Sião iluminada pela glória de Deus e recebendo povos e riquezas de longe. No capítulo 61, um personagem ungido pelo Espírito anuncia boas notícias, liberdade e o ano do favor do Senhor. O capítulo 62 insiste na nova identidade de Sião e na certeza de que Deus não a abandonará. Em contraste, Isaías 63 apresenta o guerreiro que vem de Edom após executar juízo e, em seguida, recorda a história da misericórdia divina e da rebelião de Israel. A salvação futura é inseparável tanto da presença gloriosa de Deus quanto de sua resposta à injustiça.","A glória futura de Sião resulta da intervenção do Senhor, que salva, renova e julga aquilo que se opõe ao seu governo.","Como Isaías 60–63 combina atração das nações, missão do ungido e juízo para descrever a restauração de Sião?"
17,17,"set. 11, 2026",11/09,Isaías 64–66,"Clamor, juízo e nova criação","O encerramento de Isaías nasce de uma oração que pede a Deus que intervenha novamente. O povo reconhece sua impureza e, ao mesmo tempo, apela ao relacionamento do Senhor com aqueles que ele formou.","Isaías 64 pede que Deus rasgue os céus e manifeste sua presença, confessando que a justiça humana não pode resolver a situação. Nos capítulos 65 e 66, a resposta divina distingue entre aqueles que persistem na rebelião e os servos que o buscam. A esperança alcança a promessa de novos céus e nova terra, onde a ordem anterior de dor é superada. Jerusalém é novamente descrita como lugar de alegria e consolo, e as nações são reunidas para contemplar a glória do Senhor. O livro termina, porém, preservando a realidade do juízo, impedindo uma esperança que banalize a rebelião.",A esperança final de Isaías aponta para uma nova criação na qual a presença e a justiça de Deus estabelecem uma ordem definitiva.,Como Isaías 64–66 transforma a expectativa de restauração de Jerusalém em uma esperança de nova criação sem eliminar o tema do juízo?
18,18,"set. 12, 2026",12/09,Jeremias 1–4,Chamado profético e aliança abandonada,"Jeremias é chamado durante os últimos anos do reino de Judá, quando a crise política e espiritual se aproxima de seu desfecho. Sua missão envolve anunciar tanto destruição quanto futura reconstrução.","O capítulo 1 estabelece a autoridade da palavra profética: Jeremias é conhecido e separado antes do nascimento, e o Senhor vigia sobre sua palavra para cumpri-la. Nos capítulos 2 e 3, a infidelidade de Judá é descrita principalmente em linguagem relacional. O povo abandonou a fonte de águas vivas, buscou outros deuses e rompeu a fidelidade da aliança. O chamado ao retorno é real, mas não pode ser reduzido a palavras superficiais. No capítulo 4, a ameaça do norte ganha intensidade, mostrando que a ruptura da aliança possui consequências históricas concretas.","O juízo anunciado por Jeremias nasce da ruptura persistente da aliança, enquanto o chamado ao retorno revela que Deus ainda confronta o povo visando uma resposta verdadeira.","Que função a linguagem de casamento, abandono e retorno exerce na descrição do pecado de Judá em Jeremias 1–4?"
19,19,"set. 13, 2026",13/09,Jeremias 5–8,Falsa segurança e culto sem fidelidade,"Jeremias aprofunda a acusação contra Jerusalém e atinge diretamente a confiança depositada no templo. A existência do santuário havia se tornado, para muitos, garantia de proteção independentemente da vida da aliança.","Os capítulos 5 e 6 descrevem corrupção disseminada entre líderes, profetas e povo, enquanto a invasão do norte se aproxima. No capítulo 7, Jeremias é enviado ao templo para confrontar a fórmula de segurança associada ao lugar santo. Sacrifícios e presença física no santuário não substituem justiça, obediência e abandono da idolatria. Siló funciona como precedente: um local associado à presença de Deus também pôde ser entregue ao juízo. O capítulo 8 mostra a recusa em reconhecer o próprio desvio e denuncia líderes que tratam superficialmente a ferida do povo anunciando paz onde não há paz.",O templo não funciona como proteção automática quando o povo usa o culto para encobrir a violação da aliança.,Como Jeremias 5–8 desmonta a relação automática que os ouvintes estabeleciam entre possuir o templo e permanecer seguros diante de Deus?
20,20,"set. 14, 2026",14/09,Jeremias 9–12,Conhecer o Senhor em uma sociedade infiel,"Depois das denúncias anteriores, Jeremias alterna lamento, acusação e oração. A corrupção social é apresentada como resultado de uma ruptura mais profunda no conhecimento e na fidelidade ao Senhor.","Jeremias 9 descreve uma sociedade em que mentira, engano e violência corroem as relações. Nesse contexto surge o chamado para que ninguém se glorie em sabedoria, força ou riqueza, mas em compreender e conhecer o Senhor, que pratica misericórdia, justiça e retidão. O capítulo 10 contrasta o Deus vivo com ídolos incapazes de agir. Em Jeremias 11, a linguagem da aliança reaparece e o profeta descobre uma conspiração contra sua própria vida. No capítulo 12, ele leva a Deus a questão da prosperidade dos perversos. A fidelidade profética não o isenta da perplexidade nem do sofrimento produzido pelo mesmo ambiente que ele denuncia.","Conhecer o Senhor significa reconhecer seu caráter e viver sob a realidade de sua aliança, mesmo quando essa fidelidade traz conflito.","Como Jeremias 9–12 relaciona o verdadeiro conhecimento de Deus com a crítica à falsa sabedoria, à idolatria e à infidelidade da aliança?"
21,21,"set. 15, 2026",15/09,Jeremias 13–16,Sinais de juízo e a profundidade da rebelião,Jeremias passa a usar ações simbólicas e imagens fortes para tornar visível a condição de Judá. O juízo deixa de ser apenas anunciado em palavras e aparece representado na própria experiência do profeta e do povo.,"O cinto arruinado do capítulo 13 simboliza uma relação que deveria ter sido próxima, mas foi corrompida pelo orgulho. A seca do capítulo 14 expõe vulnerabilidade e leva Jeremias à intercessão, embora o Senhor denuncie profetas que prometem segurança sem terem sido enviados. No capítulo 15, o profeta lamenta o peso de sua missão e recebe novamente o chamado à fidelidade. Em Jeremias 16, sua própria vida familiar se torna sinal da calamidade que virá. O conjunto mostra uma rebelião tão persistente que fórmulas religiosas e intercessões superficiais já não podem ser usadas para negar suas consequências.",A persistência na infidelidade transforma o juízo anunciado em uma realidade histórica que nem mensagens religiosas tranquilizadoras podem remover.,"Como as ações simbólicas, a seca e a experiência pessoal de Jeremias aprofundam o diagnóstico da infidelidade de Judá nos capítulos 13–16?"
22,22,"set. 16, 2026",16/09,Jeremias 17–20,"Confiança, formação e sofrimento profético","A palavra de Jeremias volta-se ao coração de Judá e, ao mesmo tempo, expõe o custo pessoal de anunciá-la. A seção reúne instrução, imagens de formação e relatos de oposição ao profeta.","Jeremias 17 contrasta quem confia no ser humano com quem confia no Senhor e descreve o coração como difícil de conhecer plenamente. A observância do sábado aparece como teste concreto da disposição de ouvir. No capítulo 18, a visita à casa do oleiro mostra que o anúncio profético não é fatalismo: a resposta de uma nação à palavra pode alterar o modo como o juízo ou a bênção se realiza. O vaso quebrado do capítulo 19, porém, comunica a gravidade de uma resistência persistente. No capítulo 20, Pasur agride Jeremias, e o profeta lamenta uma missão da qual não consegue simplesmente escapar.","A palavra de Deus confronta o coração e chama à resposta, enquanto a fidelidade do mensageiro pode envolver sofrimento real.","Como as imagens do oleiro e do vaso quebrado em Jeremias 18–19 esclarecem a relação entre anúncio de juízo, resposta humana e endurecimento persistente?"
23,23,"set. 17, 2026",17/09,Jeremias 21–24,"Reis, pastores e o Renovo justo","Com Jerusalém ameaçada pela Babilônia, Jeremias dirige palavras específicas à casa real. O fracasso dos reis de Judá se torna parte do argumento sobre a necessidade de um governo diferente.","No capítulo 21, Zedequias procura uma intervenção semelhante aos antigos livramentos, mas recebe uma palavra de juízo. Jeremias 22 avalia reis de Judá a partir da justiça, especialmente no tratamento dos vulneráveis, e denuncia a confiança em palácios e poder. O capítulo 23 amplia a crítica aos pastores que dispersaram o rebanho e contrapõe a eles a promessa de um Renovo davídico que reinará com justiça. A denúncia também alcança falsos profetas que afirmam falar pelo Senhor sem terem estado em seu conselho. No capítulo 24, os dois cestos de figos interpretam de modo surpreendente os exilados como grupo através do qual Deus realizará futura restauração.",O fracasso da liderança de Judá prepara a esperança de um governo justo que depende da iniciativa e da fidelidade de Deus.,Como Jeremias 21–24 transforma a crise da monarquia davídica em fundamento para a promessa de um futuro Renovo justo?
24,24,"set. 18, 2026",18/09,Jeremias 25–28,A palavra de Deus contra a falsa profecia,A queda de Judá está próxima e Jeremias precisa explicar tanto sua duração quanto o conflito entre sua mensagem e as vozes que prometem rápido livramento.,"Jeremias 25 resume anos de advertência rejeitada e anuncia o domínio babilônico por um período determinado, sem transformar a Babilônia em poder definitivo. O capítulo 26 recorda a oposição ao sermão do templo e mostra que a autenticidade do profeta não depende da aceitação pública. Nos capítulos 27 e 28, o jugo colocado por Jeremias simboliza a necessidade de submeter-se temporariamente à Babilônia. Hananias quebra o jugo e anuncia libertação imediata, mas sua mensagem é desmentida pelos acontecimentos. O conflito evidencia que uma profecia agradável não se torna verdadeira apenas por usar linguagem religiosa ou prometer um resultado desejável.","A palavra profética deve ser julgada pela fidelidade ao que Deus revelou, não pela conveniência da mensagem ou pela segurança que produz.",Quais critérios internos à narrativa de Jeremias 25–28 diferenciam a mensagem de Jeremias da profecia de Hananias?
25,25,"set. 19, 2026",19/09,Jeremias 29–32,Esperança no exílio e nova aliança,"Jeremias passa a falar a uma comunidade que precisa aprender a viver no exílio sem confundir esperança com retorno imediato. A restauração é prometida, mas não pela negação da disciplina presente.","A carta do capítulo 29 orienta os exilados a construir casas, formar famílias e buscar o bem da cidade, pois o exílio terá duração real. Os capítulos 30 e 31 reúnem promessas de restauração, retorno e renovação da relação com Deus. A nova aliança de Jeremias 31 responde diretamente ao fracasso anterior: a instrução do Senhor será escrita no coração e o conhecimento de Deus caracterizará a comunidade. No capítulo 32, enquanto Jerusalém está sitiada, Jeremias compra um campo como sinal concreto de que casas e terras ainda voltarão a ser possuídas. A esperança bíblica aqui não evita o juízo, mas nasce da promessa de Deus além dele.",Deus promete restaurar o povo por meio de uma obra que inclui retorno histórico e renovação interna da aliança.,"Como Jeremias 29–32 impede que a esperança seja entendida como fuga imediata do exílio e, ao mesmo tempo, a fundamenta em uma transformação mais profunda?"
26,26,"set. 20, 2026",20/09,Jeremias 33–36,"Promessa, fidelidade e recusa da palavra","Depois das grandes promessas de restauração, Jeremias coloca lado a lado a fidelidade de Deus, exemplos de obediência humana e a rejeição deliberada da palavra profética.","O capítulo 33 retoma a restauração de Jerusalém e a promessa ligada à casa de Davi e ao sacerdócio. Jeremias 34 denuncia a libertação temporária dos escravos que logo é revertida, mostrando uma obediência sem permanência. Em contraste, os recabitas do capítulo 35 mantêm fielmente a orientação recebida de seu ancestral e se tornam comparação incômoda para Judá, que repetidamente ignora a palavra do Senhor. No capítulo 36, Baruque registra as palavras de Jeremias, mas o rei Jeoaquim corta e queima o rolo à medida que ele é lido. O gesto não destrói a palavra, que é registrada novamente, mas revela a disposição do rei diante dela.",A permanência da palavra de Deus contrasta com a obediência instável ou a rejeição deliberada daqueles que a recebem.,"Como Jeremias 33–36 usa diferentes respostas à palavra para distinguir promessa divina, obediência concreta e resistência deliberada?"
27,27,"set. 21, 2026",21/09,Jeremias 37–40,A queda de Jerusalém,"Os anúncios de Jeremias chegam ao seu cumprimento histórico. A narrativa acompanha os últimos dias da cidade, a prisão do profeta e a conquista babilônica.","Zedequias procura Jeremias, mas permanece incapaz de agir consistentemente segundo a palavra recebida. O profeta é preso e lançado numa cisterna por ser acusado de enfraquecer a resistência militar. Mesmo diante da pressão, sua mensagem não muda: Jerusalém cairá e a rendição é o caminho de preservação possível. O capítulo 39 narra a entrada dos babilônios, a captura de Zedequias e a destruição da cidade. Jeremias é poupado, e o capítulo 40 inicia a vida sob Gedalias. A narrativa mostra que a queda não surgiu de ausência de advertência, mas de longa recusa em responder a ela.",O cumprimento do juízo confirma a seriedade da palavra que Judá ouviu repetidamente e decidiu rejeitar.,Como a indecisão de Zedequias em Jeremias 37–40 funciona como retrato político da resistência de Judá à palavra profética?
28,28,"set. 22, 2026",22/09,Jeremias 41–44,"Depois da queda, a resistência permanece","A destruição de Jerusalém não encerra os conflitos do povo. O pequeno remanescente deixado na terra enfrenta assassinato, medo e a decisão de fugir para o Egito.","Ismael assassina Gedalias, comprometendo a frágil reorganização estabelecida após a queda. Joanã e outros líderes libertam sobreviventes e procuram Jeremias antes de decidir o que fazer. Eles afirmam que obedecerão à palavra do Senhor, mas, quando recebem a orientação para permanecer na terra, rejeitam-na e seguem para o Egito. Jeremias é levado com eles. No capítulo 44, o profeta confronta a continuidade da idolatria entre os refugiados, que chegam a defender seu culto à chamada rainha dos céus. A experiência do juízo não produziu automaticamente interpretação correta nem arrependimento.",Sofrer as consequências da infidelidade não transforma por si só o coração; a palavra ainda precisa ser ouvida e recebida.,Como Jeremias 41–44 mostra a diferença entre buscar orientação profética e estar realmente disposto a obedecer ao que será dito?
29,29,"set. 23, 2026",23/09,Jeremias 45–48,Baruque e as nações sob o governo de Deus,A atenção se desloca de Judá para indivíduos e povos ao redor. O pequeno oráculo a Baruque introduz uma sequência que mostra o alcance da soberania divina para além de Jerusalém.,"Jeremias 45 dirige-se a Baruque, cansado e aflito, e o adverte a não buscar grandeza pessoal num tempo em que o próprio Senhor está derrubando aquilo que edificou. Os capítulos seguintes iniciam oráculos contra as nações. O Egito, que parecia alternativa de segurança, é derrotado. A Filístia enfrenta destruição, e Moabe é julgado por orgulho, complacência e confiança em seus próprios recursos e deuses. Mesmo assim, o oráculo contra Moabe termina com uma nota de futura restauração. A sequência impede uma leitura em que apenas Judá responde diante de Deus.","O governo do Senhor alcança indivíduos e nações, relativizando tanto ambições pessoais quanto a aparente estabilidade dos poderes políticos.",Que relação pode ser observada entre a palavra dirigida a Baruque e os oráculos contra as nações em Jeremias 45–48?
